ISSUER_ISIN,ANNEE,TRIMESTRE,AS_OF_DATE,IVA_COMPANY_RATING,IVA_PREVIOUS_RATING,IVA_RATING_TREND,INDUSTRY_ADJUSTED_SCORE,WEIGHTED_AVERAGE_SCORE,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,delta_WEIGHTED_AVERAGE_SCORE,delta_ENVIRONMENTAL_PILLAR_SCORE,delta_SOCIAL_PILLAR_SCORE,delta_GOVERNANCE_PILLAR_SCORE
US31983A1034,2024,1,20240301,B,B,0.0,2.6,3.4,1.0,3.0,5.0,0.0,-0.19999999999999996,0.0,0.0
US31984WBR43,2023,3,20240101,AAA,AAA,0.0,10.0,7.0,7.5,7.6,5.7,,,,
US31984WBT09,2023,3,20240201,AAA,AAA,0.0,10.0,7.0,7.5,7.6,5.7,,,,
US31984WBV54,2023,3,20240401,AAA,AAA,0.0,10.0,7.0,7.5,7.6,5.7,,,,
US31984WBW38,2024,3,20241001,AAA,AAA,0.0,10.0,6.7,7.5,7.3,5.5,,,,
US31984WCA09,2024,3,20241101,AAA,AAA,0.0,10.0,6.7,7.5,7.3,5.5,,,,
US31985MAA36,2023,3,20240101,BBB,BBB,0.0,4.8,4.3,1.5,4.2,5.6,,,,
US31985MAA36,2024,3,20240901,BBB,BBB,0.0,5.2,4.5,2.3,4.6,5.3,0.20000000000000018,0.7999999999999998,0.39999999999999947,-0.2999999999999998
US3202091092,2023,1,20240101,BBB,BBB,0.0,4.5,4.3,0.0,4.3,6.0,,,,
US3202091092,2024,1,20240201,BBB,BBB,0.0,4.5,4.2,0.0,4.0,6.3,-0.09999999999999964,0.0,-0.2999999999999998,0.2999999999999998
US32020R1095,2023,3,20240101,BB,BB,0.0,3.8,3.9,1.4,3.0,6.3,,,,
US32020R1095,2024,3,20240901,BB,BB,0.0,4.1,4.0,1.3,3.4,6.1,0.10000000000000009,-0.09999999999999987,0.3999999999999999,-0.20000000000000018
US3202181000,2023,1,20240101,B,BB,-1.0,2.1,3.3,0.0,3.3,4.5,,,,
US3202181000,2024,1,20240201,B,B,0.0,2.1,3.2,0.0,3.2,4.4,-0.09999999999999964,0.0,-0.09999999999999964,-0.09999999999999964
US32021MFV63,2023,1,20240101,BBB,BBB,0.0,4.5,4.3,0.0,4.3,6.0,,,,
US32021MFV63,2024,1,20240201,BBB,BBB,0.0,4.5,4.2,0.0,4.0,6.3,-0.09999999999999964,0.0,-0.2999999999999998,0.2999999999999998
US32021MFX20,2024,1,20240901,BBB,BBB,0.0,4.5,4.5,0.0,4.0,7.0,,,,
US32021SKM79,2023,1,20240101,BBB,BBB,0.0,4.5,4.3,0.0,4.3,6.0,,,,
US32021SKM79,2024,1,20240201,BBB,BBB,0.0,4.5,4.2,0.0,4.0,6.3,-0.09999999999999964,0.0,-0.2999999999999998,0.2999999999999998
US32021SKN52,2024,1,20241101,BBB,BBB,0.0,4.5,4.5,0.0,4.0,7.0,,,,
US32026U5Q50,2023,1,20240401,B,BB,-1.0,2.4,3.0,0.0,3.1,3.9,,,,
US32026U5R34,2023,1,20240601,B,BB,-1.0,2.4,2.9,0.0,3.1,3.6,,,,
US32026UYX89,2023,1,20240101,B,BB,-1.0,2.4,3.0,0.0,3.1,3.9,,,,
US32026V1044,2023,1,20240101,B,BB,-1.0,2.4,3.0,0.0,3.1,3.9,,,,
US3205171057,2023,2,20240101,BBB,BBB,0.0,4.8,4.5,0.9,4.8,5.5,,,,
US3205171057,2024,3,20240801,BBB,BBB,0.0,4.5,4.3,1.0,4.9,4.7,-0.20000000000000018,0.09999999999999998,0.10000000000000053,-0.7999999999999998
US32051X1081,2023,1,20240101,BBB,BBB,0.0,5.2,4.3,1.9,3.4,6.8,,,,
US32051X1081,2024,1,20240201,BBB,BBB,0.0,4.3,4.1,2.1,3.1,6.6,-0.20000000000000018,0.20000000000000018,-0.2999999999999998,-0.20000000000000018
US32054K1034,2023,3,20240101,BBB,BB,1.0,4.7,5.4,5.1,3.0,7.0,,,,
US32054K1034,2024,3,20240801,BBB,BBB,0.0,4.4,5.3,5.0,2.6,7.0,-0.10000000000000053,-0.09999999999999964,-0.3999999999999999,0.0
US32055RAE71,2023,3,20240101,BBB,BB,1.0,4.7,5.4,5.1,3.0,7.0,,,,
US32055RAE71,2024,3,20240801,BBB,BBB,0.0,4.4,5.3,5.0,2.6,7.0,-0.10000000000000053,-0.09999999999999964,-0.3999999999999999,0.0
US32055Y2019,2023,3,20240101,BBB,A,-1.0,5.2,4.4,0.0,4.0,6.8,,,,
US32055Y2019,2024,3,20240801,BBB,BBB,0.0,5.0,4.0,0.0,4.0,5.5,-0.40000000000000036,0.0,0.0,-1.2999999999999998
US320808AD01,2023,3,20240101,BBB,BB,1.0,5.7,4.7,1.8,4.4,6.2,,,,
US320808AD01,2024,4,20241101,BBB,BBB,0.0,5.7,4.7,2.0,4.3,6.5,0.0,0.19999999999999996,-0.10000000000000053,0.2999999999999998
US3208171096,2023,2,20240101,B,B,0.0,2.6,3.5,1.0,3.3,4.9,,,,
US3208171096,2024,3,20240801,BB,B,1.0,3.2,3.6,0.3,3.3,5.4,0.10000000000000009,-0.7,0.0,0.5
US32082BFN47,2023,2,20240101,B,B,0.0,2.6,3.5,1.0,3.3,4.9,,,,
US32082BFN47,2024,3,20240801,BB,B,1.0,3.2,3.6,0.3,3.3,5.4,0.10000000000000009,-0.7,0.0,0.5
US32082CAC10,2023,3,20240101,BBB,BB,1.0,5.7,4.7,1.8,4.4,6.2,,,,
US32082CAC10,2024,4,20241101,BBB,BBB,0.0,5.7,4.7,2.0,4.3,6.5,0.0,0.19999999999999996,-0.10000000000000053,0.2999999999999998
US3208661062,2023,2,20240101,BB,BB,0.0,3.3,3.7,0.0,3.0,6.3,,,,
US3208661062,2024,3,20240801,BBB,BB,1.0,4.5,4.2,0.0,3.8,6.5,0.5,0.0,0.7999999999999998,0.20000000000000018
US32086RBS85,2024,3,20241001,BBB,BB,1.0,4.5,4.2,0.0,3.8,6.5,,,,
US32086RBT68,2023,2,20240101,BB,BB,0.0,3.3,3.7,0.0,3.0,6.3,,,,
US32086RBT68,2024,3,20240801,BBB,BB,1.0,4.5,4.2,0.0,3.8,6.5,0.5,0.0,0.7999999999999998,0.20000000000000018
US320870AA64,2023,2,20240101,BBB,BBB,0.0,4.8,4.3,1.2,4.0,5.9,,,,
US320870AA64,2024,2,20240701,BBB,BBB,0.0,4.8,4.3,0.9,3.9,6.1,0.0,-0.29999999999999993,-0.10000000000000009,0.1999999999999993
US321089DU54,2023,2,20240101,BBB,BBB,0.0,4.3,4.1,1.4,3.6,5.9,,,,
US321089EB64,2023,2,20240201,BBB,BBB,0.0,4.3,4.1,1.4,3.6,5.9,,,,
US321089ED21,2023,2,20240301,BBB,BBB,0.0,4.3,3.9,1.4,3.6,5.3,,,,
US321089EQ34,2023,2,20240601,BBB,BBB,0.0,4.3,3.9,1.4,3.6,5.4,,,,
US321089EU46,2024,2,20240701,BB,BBB,-1.0,3.4,3.6,1.4,3.3,5.0,,,,
US321089EX84,2024,2,20240801,BB,BBB,-1.0,3.4,3.7,1.4,3.3,5.2,,,,
US321089FC39,2024,2,20241101,BB,BBB,-1.0,3.4,3.7,1.4,3.3,5.2,,,,
US321089FD12,2024,2,20241201,BB,BBB,-1.0,3.4,3.7,1.4,3.3,5.2,,,,
US321093AC04,2023,3,20240101,BB,BB,0.0,3.8,3.8,0.5,3.3,5.7,,,,
US321093AC04,2024,3,20240801,BBB,BB,1.0,5.0,4.4,0.6,3.8,6.7,0.6000000000000005,0.09999999999999998,0.5,1.0
US33609PBA75,2023,2,20240101,BB,BB,0.0,2.9,3.3,1.7,3.0,4.3,,,,
US33609PBA75,2024,2,20240701,BB,BB,0.0,3.0,3.5,2.2,3.7,3.8,0.20000000000000018,0.5000000000000002,0.7000000000000002,-0.5
US33609PBB58,2024,2,20240801,BB,BB,0.0,3.0,3.5,2.2,3.7,3.8,,,,
US33616C1009,2023,2,20240101,BB,A,-2.0,2.9,3.6,5.5,3.6,2.7,,,,
US3364331070,2023,2,20240101,AA,AA,0.0,8.1,6.2,7.5,4.6,6.0,,,,
US3364331070,2024,2,20240601,AA,AA,0.0,8.1,6.2,6.9,5.6,5.9,0.0,-0.5999999999999996,1.0,-0.09999999999999964
US336449AA13,2023,2,20240101,BBB,BBB,0.0,5.2,4.5,1.0,4.2,6.3,,,,
US336449AA13,2024,3,20240801,A,BBB,1.0,5.9,4.8,1.2,4.7,6.3,0.2999999999999998,0.19999999999999996,0.5,0.0
US33646CQT44,2023,2,20240101,B,B,0.0,2.6,3.4,0.0,3.4,4.7,,,,
US33646CQT44,2024,2,20240601,B,B,0.0,2.3,3.2,0.0,3.3,4.3,-0.19999999999999973,0.0,-0.10000000000000009,-0.40000000000000036
US33648PCL58,2023,3,20240601,BB,BB,0.0,3.6,3.8,0.0,4.1,4.8,,,,
US33648PCL58,2024,3,20241001,BB,BB,0.0,4.1,4.0,0.0,4.1,5.3,0.20000000000000018,0.0,0.0,0.5
US3369011032,2023,2,20240101,B,B,0.0,2.6,3.4,0.0,3.4,4.7,,,,
US3369011032,2024,2,20240601,B,B,0.0,2.3,3.2,0.0,3.3,4.3,-0.19999999999999973,0.0,-0.10000000000000009,-0.40000000000000036
