name,score_kind,annee,trimestre,isin,sector,industry,country,region,first_quartile,consensus,third_quartile,strength,delta
Abb ltd,E,2020,3,CH0012221716,Industrials,,Switzerland,Europe,69.6,69.6,76.2,93.4,0.0
Abb ltd,E,2020,4,CH0012221716,Industrials,,Switzerland,Europe,69.6,69.6,76.2,93.4,0.0
Abb ltd,E,2021,1,CH0012221716,Industrials,,Switzerland,Europe,70.1,70.1,76.7,93.4,0.5
Abb ltd,E,2021,2,CH0012221716,Industrials,,Switzerland,Europe,70.1,70.1,76.7,93.4,0.0
Abb ltd,E,2021,3,CH0012221716,Industrials,,Switzerland,Europe,70.1,70.1,76.7,93.4,0.0
Abb ltd,E,2021,4,CH0012221716,Industrials,,Switzerland,Europe,70.1,70.1,76.7,93.4,0.0
Abb ltd,E,2022,1,CH0012221716,Industrials,,Switzerland,Europe,63.0,63.0,75.3,87.7,-7.099999999999994
Abb ltd,E,2022,2,CH0012221716,Industrials,,Switzerland,Europe,63.0,63.0,75.3,87.7,0.0
Abb ltd,E,2022,3,CH0012221716,Industrials,,Switzerland,Europe,63.0,63.0,75.3,87.7,0.0
Abb ltd,E,2022,4,CH0012221716,Industrials,,Switzerland,Europe,63.0,63.0,75.3,87.7,0.0
Abb ltd,E,2023,1,CH0012221716,Industrials,,Switzerland,Europe,65.5,71.9,80.2,88.5,8.900000000000006
Abb ltd,E,2023,2,CH0012221716,Industrials,,Switzerland,Europe,65.5,71.9,80.2,88.5,0.0
Abb ltd,E,2023,3,CH0012221716,Industrials,,Switzerland,Europe,68.3,68.3,75.1,91.6,-3.6000000000000085
Abb ltd,E,2023,4,CH0012221716,Industrials,,Switzerland,Europe,69.1,70.6,75.4,93.2,2.299999999999997
Abb ltd,E,2024,1,CH0012221716,Industrials,,Switzerland,Europe,68.5,70.0,78.2,91.6,-0.5999999999999943
Abb ltd,E,2024,2,CH0012221716,Industrials,,Switzerland,Europe,68.2,69.7,78.4,91.1,-0.29999999999999716
Abb ltd,E,2024,3,CH0012221716,Industrials,,Switzerland,Europe,67.8,69.3,78.4,90.7,-0.4000000000000057
Abb ltd,E,2024,4,CH0012221716,Industrials,,Switzerland,Europe,66.5,68.0,78.4,89.4,-1.2999999999999972
Abb ltd,E,2025,1,CH0012221716,Industrials,,Switzerland,Europe,67.5,69.0,78.4,90.4,1.0
Abb ltd,ESG,2020,1,CH0012221716,Industrials,,Switzerland,Europe,65.4,65.4,65.5,99.9,
